Date : 2025-06-23 02:27:42
Directory : /media/username/harddrive/Projects/vee
Total : 151 files,  5252 codes, 448 comments, 892 blanks, all 6592 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |        118 |      4,676 |        309 |        823 |      5,808 |
| XML             |         16 |        227 |         54 |         17 |        298 |
| JSON            |          5 |        192 |          0 |          3 |        195 |
| YAML            |          4 |         79 |         68 |         21 |        168 |
| Markdown        |          2 |         31 |          0 |         14 |         45 |
| HTML            |          1 |         19 |         15 |          5 |         39 |
| Swift           |          2 |         19 |          2 |          6 |         27 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| C++             |          1 |          1 |          0 |          1 |          2 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |        151 |      5,252 |        448 |        892 |      6,592 |
| . (Files)                                                                                                                                    |          5 |        107 |         68 |         33 |        208 |
| android                                                                                                                                      |          9 |         76 |         52 |         11 |        139 |
| android (Files)                                                                                                                              |          1 |          3 |          0 |          1 |          4 |
| android/app                                                                                                                                  |          7 |         68 |         52 |          9 |        129 |
| android/app/src                                                                                                                              |          7 |         68 |         52 |          9 |        129 |
| android/app/src/debug                                                                                                                        |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                                         |          5 |         62 |         44 |          7 |        113 |
| android/app/src/main (Files)                                                                                                                 |          1 |         36 |         12 |          1 |         49 |
| android/app/src/main/res                                                                                                                     |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                                            |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                              |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                                      |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                                               |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                       |          5 |         19 |          0 |          2 |         21 |
| assets/lang                                                                                                                                  |          2 |         12 |          0 |          0 |         12 |
| assets/svgs                                                                                                                                  |          3 |          7 |          0 |          2 |          9 |
| assets/svgs (Files)                                                                                                                          |          2 |          4 |          0 |          1 |          5 |
| assets/svgs/auth                                                                                                                             |          1 |          3 |          0 |          1 |          4 |
| ios                                                                                                                                          |         12 |        320 |          4 |         17 |        341 |
| ios/Flutter                                                                                                                                  |          1 |         26 |          0 |          1 |         27 |
| ios/Runner                                                                                                                                   |          8 |        271 |          2 |         10 |        283 |
| ios/Runner (Files)                                                                                                                           |          3 |         62 |          0 |          4 |         66 |
| ios/Runner.xcodeproj                                                                                                                         |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace                                                                                                     |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace/xcshareddata                                                                                        |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace                                                                                                                       |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace/xcshareddata                                                                                                          |          1 |          8 |          0 |          1 |          9 |
| ios/Runner/Assets.xcassets                                                                                                                   |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                              |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                        |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                                              |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                                          |        117 |      4,658 |        299 |        817 |      5,774 |
| lib (Files)                                                                                                                                  |          3 |         70 |          0 |         17 |         87 |
| lib/core                                                                                                                                     |         39 |      1,358 |        100 |        297 |      1,755 |
| lib/core/constants                                                                                                                           |          3 |        147 |         36 |         30 |        213 |
| lib/core/di                                                                                                                                  |          1 |         13 |          3 |          7 |         23 |
| lib/core/errors                                                                                                                              |          2 |         18 |          1 |         14 |         33 |
| lib/core/extensions                                                                                                                          |          3 |        108 |         15 |         74 |        197 |
| lib/core/network                                                                                                                             |          6 |        333 |         12 |         47 |        392 |
| lib/core/routing                                                                                                                             |          2 |         75 |          0 |          7 |         82 |
| lib/core/screens                                                                                                                             |          1 |         36 |          1 |          4 |         41 |
| lib/core/services                                                                                                                            |          3 |         47 |          2 |         21 |         70 |
| lib/core/theme                                                                                                                               |          4 |        269 |          8 |         28 |        305 |
| lib/core/usecases                                                                                                                            |          1 |          5 |          1 |          1 |          7 |
| lib/core/utils                                                                                                                               |          9 |        220 |         14 |         43 |        277 |
| lib/core/widgets                                                                                                                             |          4 |         87 |          7 |         21 |        115 |
| lib/features                                                                                                                                 |         75 |      3,230 |        199 |        503 |      3,932 |
| lib/features/driver                                                                                                                          |         16 |        468 |         76 |         71 |        615 |
| lib/features/driver/home                                                                                                                     |         10 |        310 |         76 |         48 |        434 |
| lib/features/driver/home/presentation                                                                                                        |         10 |        310 |         76 |         48 |        434 |
| lib/features/driver/home/presentation/cubit                                                                                                  |          2 |         13 |          0 |          7 |         20 |
| lib/features/driver/home/presentation/screens                                                                                                |          1 |         60 |         73 |         10 |        143 |
| lib/features/driver/home/presentation/widgets                                                                                                |          7 |        237 |          3 |         31 |        271 |
| lib/features/driver/notifications                                                                                                            |          6 |        158 |          0 |         23 |        181 |
| lib/features/driver/notifications/presentation                                                                                               |          6 |        158 |          0 |         23 |        181 |
| lib/features/driver/notifications/presentation/cubit                                                                                         |          2 |         13 |          0 |          7 |         20 |
| lib/features/driver/notifications/presentation/screens                                                                                       |          1 |         42 |          0 |          4 |         46 |
| lib/features/driver/notifications/presentation/widgets                                                                                       |          3 |        103 |          0 |         12 |        115 |
| lib/features/shared                                                                                                                          |         59 |      2,762 |        123 |        432 |      3,317 |
| lib/features/shared/auth                                                                                                                     |         45 |      2,305 |        113 |        371 |      2,789 |
| lib/features/shared/auth/data                                                                                                                |         13 |        236 |         17 |         59 |        312 |
| lib/features/shared/auth/data/datasources                                                                                                    |          1 |         14 |          0 |          4 |         18 |
| lib/features/shared/auth/data/mapper                                                                                                         |          1 |         31 |          0 |          3 |         34 |
| lib/features/shared/auth/data/models                                                                                                         |         10 |        121 |         16 |         46 |        183 |
| lib/features/shared/auth/data/repositories                                                                                                   |          1 |         70 |          1 |          6 |         77 |
| lib/features/shared/auth/di                                                                                                                  |          1 |         34 |          8 |          7 |         49 |
| lib/features/shared/auth/domain                                                                                                              |          6 |         93 |          0 |         22 |        115 |
| lib/features/shared/auth/domain/entities                                                                                                     |          3 |         50 |          0 |          7 |         57 |
| lib/features/shared/auth/domain/repositories                                                                                                 |          1 |         13 |          0 |          6 |         19 |
| lib/features/shared/auth/domain/usecases                                                                                                     |          2 |         30 |          0 |          9 |         39 |
| lib/features/shared/auth/presentation                                                                                                        |         25 |      1,942 |         88 |        283 |      2,313 |
| lib/features/shared/auth/presentation/cubits                                                                                                 |          6 |      1,109 |         84 |        180 |      1,373 |
| lib/features/shared/auth/presentation/cubits/forgot_passwprd_cubit                                                                           |          3 |        546 |         42 |         89 |        677 |
| lib/features/shared/auth/presentation/cubits/login_cubit                                                                                     |          3 |        563 |         42 |         91 |        696 |
| lib/features/shared/auth/presentation/screens                                                                                                |          4 |        171 |          0 |         26 |        197 |
| lib/features/shared/auth/presentation/widgets                                                                                                |         15 |        662 |          4 |         77 |        743 |
| lib/features/shared/onboarding                                                                                                               |          5 |        128 |          1 |         18 |        147 |
| lib/features/shared/onboarding/presentation                                                                                                  |          5 |        128 |          1 |         18 |        147 |
| lib/features/shared/onboarding/presentation/screens                                                                                          |          1 |         42 |          1 |          4 |         47 |
| lib/features/shared/onboarding/presentation/widgets                                                                                          |          4 |         86 |          0 |         14 |        100 |
| lib/features/shared/profile                                                                                                                  |          9 |        329 |          9 |         43 |        381 |
| lib/features/shared/profile/presentation                                                                                                     |          9 |        329 |          9 |         43 |        381 |
| lib/features/shared/profile/presentation/cubit                                                                                               |          2 |          7 |          7 |          9 |         23 |
| lib/features/shared/profile/presentation/screens                                                                                             |          1 |         22 |          0 |          4 |         26 |
| lib/features/shared/profile/presentation/widgets                                                                                             |          6 |        300 |          2 |         30 |        332 |
| test                                                                                                                                         |          1 |         18 |         10 |          6 |         34 |
| web                                                                                                                                          |          2 |         54 |         15 |          6 |         75 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                     | language        | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /media/username/harddrive/Projects/vee/README.md                                                                                             | Markdown        |         28 |          0 |         12 |         40 |
| /media/username/harddrive/Projects/vee/analysis_options.yaml                                                                                 | YAML            |          3 |         22 |          4 |         29 |
| /media/username/harddrive/Projects/vee/android/app/src/debug/AndroidManifest.xml                                                             | XML             |          3 |          4 |          1 |          8 |
| /media/username/harddrive/Projects/vee/android/app/src/main/AndroidManifest.xml                                                              | XML             |         36 |         12 |          1 |         49 |
| /media/username/harddrive/Projects/vee/android/app/src/main/res/drawable-v21/launch_background.xml                                           | XML             |          4 |          7 |          2 |         13 |
| /media/username/harddrive/Projects/vee/android/app/src/main/res/drawable/launch_background.xml                                               | XML             |          4 |          7 |          2 |         13 |
| /media/username/harddrive/Projects/vee/android/app/src/main/res/values-night/styles.xml                                                      | XML             |          9 |          9 |          1 |         19 |
| /media/username/harddrive/Projects/vee/android/app/src/main/res/values/styles.xml                                                            | XML             |          9 |          9 |          1 |         19 |
| /media/username/harddrive/Projects/vee/android/app/src/profile/AndroidManifest.xml                                                           | XML             |          3 |          4 |          1 |          8 |
| /media/username/harddrive/Projects/vee/android/gradle.properties                                                                             | Java Properties |          3 |          0 |          1 |          4 |
| /media/username/harddrive/Projects/vee/android/gradle/wrapper/gradle-wrapper.properties                                                      | Java Properties |          5 |          0 |          1 |          6 |
