"filename", "language", "Dart", "comment", "blank", "total"
"/media/username/harddrive/Projects/vee/lib/core/constants/app_constants.dart", "Dart", 1, 0, -1, 0
"/media/username/harddrive/Projects/vee/lib/core/constants/strings_constants.dart", "Dart", 1, 0, 0, 1
"/media/username/harddrive/Projects/vee/lib/core/network/api_service.dart", "Dart", 6, 3, 2, 11
"/media/username/harddrive/Projects/vee/lib/core/network/endpoint_constants.dart", "Dart", 1, 0, 0, 1
"/media/username/harddrive/Projects/vee/lib/core/routing/app_router.dart", "Dart", 5, 0, 0, 5
"/media/username/harddrive/Projects/vee/lib/core/services/map_services/location_tracker.dart", "Dart", 0, 0, 2, 2
"/media/username/harddrive/Projects/vee/lib/core/services/map_services/map_screen.dart", "Dart", -1, 0, 0, -1
"/media/username/harddrive/Projects/vee/lib/core/services/map_services/maps_services.dart", "Dart", -9, -1, -1, -11
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/cubits/driver_home_cubit/driver_home_cubit.dart", "Dart", -1, -29, -11, -41
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/driver_home_listview.dart", "Dart", 0, 0, 1, 1
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/notification_button.dart", "Dart", 0, 0, 1, 1
"/media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/cubit/notifications_cubit.dart", "Dart", -6, 0, -3, -9
"/media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/cubit/notifications_state.dart", "Dart", -7, 0, -4, -11
"/media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/screens/notification_screen.dart", "Dart", -42, 0, -4, -46
"/media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/widgets/app_notification.dart", "Dart", -37, 0, -4, -41
"/media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/widgets/notification_box.dart", "Dart", -41, 0, -3, -44
"/media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/widgets/notification_icon.dart", "Dart", -25, 0, -5, -30
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/data/datasources/reports_remot_data_source.dart", "Dart", 9, 0, 3, 12
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/data/mapper/dreiver_reports_mapper.dart", "Dart", 26, 1, 2, 29
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/data/models/reports_respons_models.dart", "Dart", 100, 0, 19, 119
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/data/repositories/driver_reports_repository_impl.dart", "Dart", 38, 0, 4, 42
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/di /driver_reports_di.dart", "Dart", 18, 3, 4, 25
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/domain/entities/driver_reports_entites.dart", "Dart", 16, 0, 2, 18
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/domain/repositories/driver_reports_repository.dart", "Dart", 6, 0, 2, 8
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/domain/usecases/get_driver_reports_use_case.dart", "Dart", 14, 0, 4, 18
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/presentation/cubit/reports_cubit.dart", "Dart", 17, 0, 4, 21
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/presentation/cubit/reports_state.dart", "Dart", 9, 0, 3, 12
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/presentation/screens/driver_reports_screen.dart", "Dart", 30, 4, 4, 38
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/presentation/widgets/driver_reports_loaded_screen.dart", "Dart", 47, 0, 5, 52
"/media/username/harddrive/Projects/vee/lib/features/driver/reports/presentation/widgets/on_get_reports_error.dart", "Dart", 38, 0, 6, 44
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/data/mapper/mechanic_home_mapper.dart", "Dart", 2, 0, -1, 1
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/cubits/login_cubit/login_cubit.dart", "Dart", 2, 0, 0, 2
"/media/username/harddrive/Projects/vee/lib/features/shared/onboarding/presentation/widgets/on_boarding_welcome.dart", "Dart", -1, 0, 0, -1
"/media/username/harddrive/Projects/vee/lib/main_dev.dart", "Dart", 2, 0, 0, 2
"Total", "-", 218, -19, 31, 230
